,none,none,none,damp,damp,damp,flat,flat,flat,flip,flip,flip,total,total,total
,Train,Validation,Test,Train,Validation,Test,Train,Validation,Test,Train,Validation,Test,Train,Validation,Test
light0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
light1,410,36,27,410,36,27,396,35,26,399,36,27,385,35,26
light2,6875,803,904,6874,802,904,6723,767,888,6632,776,886,6479,739,870
light3,25449,3147,2856,25437,3146,2856,25180,3090,2834,24769,3033,2836,24449,2984,2814
heavy1,37382,4788,3771,37380,4788,3771,37221,4756,3759,36942,4715,3743,36778,4681,3731
heavy2,41207,5121,4110,41205,5121,4110,41133,5107,4108,40919,5089,4065,40843,5075,4063
total,111323,13895,11668,111306,13893,11668,110653,13755,11615,109661,13649,11557,108934,13514,11504
